Customer_ID,Credit_Utilization_Ratio,Debt_to_Income_Ratio,Loan_Purpose,Default_Status
CUST_00097,0.57,1.22,Business,Yes
CUST_00098,0.48,9.68679081,Auto,No
CUST_00099,0.12,0.56,Personal,No
CUST_00100,0.2,0.42,Personal,No
CUST_00101,0.13,1.95,Auto,Yes
CUST_00102,0.67,1.27,Auto,Yes
CUST_00103,0.38,1.96,Personal,No
CUST_00104,0.56,0.74,Personal,No
CUST_00105,0.92,1.44,Personal,Yes
CUST_00106,0.32,,Personal,No
CUST_00107,0.47,0.6,Education,No
CUST_00108,0.78,1.07,Auto,No
CUST_00109,0.31,0.71,Home,No
CUST_00110,0.17,0.42,Education,Yes
CUST_00111,0.36,0.6,Home,No
CUST_00112,0.25,0.17,Home,No
CUST_00113,0.94,1.44,Business,No
CUST_00114,0.83,1.04,Auto,No
CUST_00115,0.67,,Education,No
CUST_00116,0.88,0.43,Auto,No
CUST_00117,0.82,0.29,Personal,Yes
CUST_00118,0.27,1.26,Auto,No
CUST_00119,0.9,0.28,Home,No
CUST_00120,0.59,1.53,Personal,Yes
CUST_00121,0.83,0.14,Auto,No
CUST_00122,0.91,0.57,Auto,No
CUST_00123,0.39,1.79,Home,No
CUST_00124,0.2,1.47,Personal,No
CUST_00125,0.31,0.24,Home,Yes
CUST_00126,0.48,1.66,Auto,Yes
CUST_00127,0.84,1.04,Education,No
CUST_00128,0.87,,Education,No
CUST_00129,,1.24,Business,No
CUST_00130,0.56,1.4,Education,No
CUST_00131,0.48,1.99,Personal,Yes
CUST_00132,0.3,0.54,Business,No
CUST_00133,0.21,1.29,Personal,Yes
CUST_00134,0.4,0.97,Education,No
CUST_00135,0.95,0.17,Education,Yes
CUST_00136,0.39,0.13,Auto,No
CUST_00137,0.57,0.33,Personal,No
CUST_00138,0.73,1.33,Home,Yes
CUST_00139,0.43,1.18,Auto,No
CUST_00140,0.97,1.15,Personal,No
CUST_00141,0.97,0.16,Business,No
CUST_00142,0.33,0.99,Personal,No
CUST_00143,0.55,1.86,Business,No
CUST_00144,0.37,0.86,Business,No
CUST_00145,,1.29,Education,No
CUST_00146,0.13,1.58,Home,No
CUST_00147,0.65,1.59,Personal,No
CUST_00148,0.55,1.09,Home,No
CUST_00149,0.15,1.73,Business,Yes
CUST_00150,0.35,0.84,Education,Yes
CUST_00151,0.92,1.79,Home,No
CUST_00152,0.32,0.56,Auto,No
CUST_00153,0.23,0.63,Business,No
CUST_00154,0.54,0.2,Auto,No
CUST_00155,0.99,1.61,Home,No
CUST_00156,,0.89,Home,No
CUST_00157,0.7,0.54,Home,No
CUST_00158,0.79,0.54,Personal,Yes
CUST_00159,,1.81,Business,No
CUST_00160,0.76,1.68,Business,No
CUST_00161,0.43,1.15,Business,No
CUST_00162,0.67,1.27,Personal,No
CUST_00163,0.67,1,Home,No
CUST_00164,0.58,0.84,Home,No
CUST_00165,0.18,1.84,Auto,No
CUST_00166,0.85,0.34,Personal,No
CUST_00167,0.39,0.9,Education,Yes
CUST_00168,0.27,0.75,Personal,No
CUST_00169,0.14,1.05,Auto,No
CUST_00170,0.63,0.97,Auto,Yes
CUST_00171,0.71,1.09,Auto,Yes
CUST_00172,0.11,0.37,Home,Yes
CUST_00173,0.56,1.07,Education,No
CUST_00174,0.3,0.56,Auto,No
CUST_00175,0.68,0.45,Business,No
CUST_00176,0.26,0.22,Home,Yes
CUST_00177,0.72,1.55,Education,No
CUST_00178,0.45,0.91,Business,No
CUST_00179,0.94,1.29,Education,No
CUST_00180,0.22,1.48,Education,No
CUST_00181,0.41,1.39,Business,No
CUST_00182,0.2,0.99,Personal,No
CUST_00183,0.93,0.84,Education,No
CUST_00184,0.89,0.81,Personal,No
CUST_00185,0.33,1.32,Education,Yes
CUST_00186,0.69,1.04,Business,No
CUST_00187,0.84,1.71,Education,No
CUST_00188,0.6,1.76,Auto,No
CUST_00189,0.58,,Auto,No
CUST_00190,0.32,,Education,No
CUST_00191,0.18,1.3,Business,No
CUST_00192,0.91,0.67,Business,No
CUST_00193,0.91,0.14,Home,No
CUST_00194,0.67,1.79,Business,Yes
CUST_00195,0.41,0.53,Personal,No
CUST_00196,0.41,1.87,Education,No
CUST_00197,,,Auto,No
CUST_00198,,1.55,Business,No
CUST_00199,0.9,0.48,Auto,No
CUST_00200,0.8,0.54,Home,No
CUST_00201,0.68,1.09,Education,Yes
CUST_00202,0.18,0.43,Business,Yes
CUST_00203,0.25,0.68,Auto,No
CUST_00204,0.91,0.71,Business,No
CUST_00205,0.65,0.4,Home,No
CUST_00206,0.11,0.49,Auto,No
CUST_00207,0.19,1.6,Auto,No
CUST_00208,0.7,0.42,Education,No
CUST_00209,0.1,0.15,Education,No
CUST_00210,0.24,1.3,Auto,No
CUST_00211,0.59,1.95,Education,Yes
CUST_00212,0.72,0.73,Auto,No
CUST_00213,0.69,0.33,Personal,No
CUST_00214,0.3,1.18,Business,No
CUST_00215,0.74,1.82,Personal,No
CUST_00216,0.31,1.59,Personal,No
CUST_00217,0.39,1.28,Business,No
CUST_00218,0.77,0.7,Auto,No
CUST_00219,0.68,1.13,Auto,No
CUST_00220,0.86,0.27,Education,No
CUST_00221,0.69,1.39,Home,Yes
CUST_00222,0.61,1.48,Auto,Yes
CUST_00223,0.18,1.93,Business,No
CUST_00224,0.43,0.59,Home,No
CUST_00225,0.34,0.14,Business,No
CUST_00226,0.32,1.14,Business,No
CUST_00227,0.98,1.44,Business,No
CUST_00228,0.45,1.6,Home,No
CUST_00229,,0.47,Personal,No
CUST_00230,0.67,0.6,Business,No
CUST_00231,0.82,1.07,Education,Yes
CUST_00232,0.55,0.73,Auto,Yes
CUST_00233,0.62,1.73,Auto,Yes
CUST_00234,0.54,1,Auto,Yes
CUST_00235,0.28,1.62,Home,No
CUST_00236,0.75,1.2,,Yes
CUST_00237,0.35,1.57,Education,No
CUST_00238,0.12,0.73,Education,No
CUST_00239,0.68,1.68,Education,Yes
CUST_00240,0.26,0.62,Education,No
CUST_00241,0.95,1.14,Personal,No
CUST_00242,0.96,0.51,Education,No
CUST_00243,0.92,1,Education,No
CUST_00244,0.43,0.7,Home,Yes
CUST_00245,0.11,0.61,Home,No
CUST_00246,0.94,1.94,Education,No
CUST_00247,0.49,0.4,Personal,Yes
CUST_00248,0.97,1.6,Education,No
CUST_00249,0.97,1.97,Education,No
CUST_00250,0.87,0.14,Education,No
CUST_00251,0.37,1.43,Business,No
CUST_00252,,0.58,Personal,Yes
CUST_00253,0.87,,Auto,No
CUST_00254,,0.87,Education,No
CUST_00255,0.25,1.88,Auto,No
CUST_00256,0.6,0.12,,No
CUST_00257,0.94,1.22,Education,No
CUST_00258,0.73,1.05,Auto,Yes
CUST_00259,0.61,1.76,Auto,No
CUST_00260,0.19,0.26,Personal,No
CUST_00261,0.65,1.39,Education,No
CUST_00262,0.99,1.39,Business,No
CUST_00263,0.23,,Personal,No
CUST_00264,0.57,1.89,Business,Yes
CUST_00265,0.89,,Education,No
CUST_00266,0.77,0.18,Auto,No
CUST_00267,0.73,1,Personal,No
CUST_00268,0.73,0.86,Personal,No
CUST_00269,0.42,,Personal,No
CUST_00270,0.36,,Home,No
CUST_00271,0.83,0.83,Education,No
CUST_00272,0.83,0.92,Home,No
CUST_00273,0.88,1.96,Personal,No
CUST_00274,,0.27,Personal,Yes
CUST_00275,0.56,1.85,Business,No
CUST_00276,0.55,,Home,No
CUST_00277,0.82,1.29,Auto,No
CUST_00278,0.68,1.68,Education,Yes
CUST_00279,0.73,0.78,Auto,No
CUST_00280,0.82,0.92,Auto,No
CUST_00281,0.9,0.88,Education,No
CUST_00282,0.4,0.81,,No
CUST_00283,0.44,1.86,Business,No
CUST_00284,0.18,1.67,Personal,No
CUST_00285,0.62,0.31,Personal,Yes
CUST_00286,0.13,0.31,Home,Yes
CUST_00287,0.52,0.91,Auto,No
CUST_00288,0.59,0.29,Auto,No
CUST_00289,0.36,1.28,Auto,No
CUST_00290,0.63,0.37,Business,No
CUST_00291,0.13,5.898657017,,Yes
CUST_00292,0.13,0.11,Business,No
CUST_00293,0.84,0.7,Education,No
CUST_00294,0.42,1.39,Business,No
CUST_00295,0.21,,Home,No
CUST_00296,0.57,,Home,No
CUST_00297,0.79,1.76,Personal,No
CUST_00298,0.29,0.78,Personal,No
CUST_00299,,0.19,Personal,No
CUST_00300,0.18,1.71,Personal,No
CUST_00301,0.15,1.83,Home,No
CUST_00302,0.58,1.66,,No
CUST_00303,0.59,0.34,Home,No
CUST_00304,0.67,2,,No
CUST_00305,0.75,4.123647208,Business,No
CUST_00306,,1.48,Education,No
CUST_00307,0.56,1.83,,No
CUST_00308,0.39,0.55,Business,No
CUST_00309,0.82,1.83,Business,No
CUST_00310,0.34,0.69,Auto,Yes
CUST_00311,0.5,1.96,Auto,No
CUST_00312,0.17,0.63,Home,No
CUST_00313,0.12,1.91,,No
CUST_00314,0.97,0.2,Auto,No
CUST_00315,0.85,1.45,Education,No
CUST_00316,0.73,1.11,Business,No
CUST_00317,0.47,1.01,Home,No
CUST_00318,0.26,0.52,Education,No
CUST_00319,0.24,1.44,Auto,Yes
CUST_00320,0.33,0.46,Business,Yes
CUST_00321,0.59,1.15,Personal,No
CUST_00322,0.74,0.58,Business,No
CUST_00323,0.69,1.92,Auto,No
CUST_00324,0.35,0.15,Auto,No
CUST_00325,0.96,0.48,,No
CUST_00326,0.76,0.56,Business,No
CUST_00327,0.6,0.89,Education,No
CUST_00328,0.65,,Education,No
CUST_00329,0.48,1.03,Business,No
CUST_00330,0.32,1.76,Education,No
CUST_00331,0.42,1.45,Business,No
CUST_00332,0.78,1.2,Business,Yes
CUST_00333,0.11,0.27,Auto,No
CUST_00334,0.2,1.42,Home,No
CUST_00335,0.14,0.42,Auto,No
CUST_00336,0.14,1.59,Education,No
CUST_00337,0.87,0.58,Home,No
CUST_00338,0.73,0.89,Business,No
CUST_00339,0.53,0.77,Education,No
CUST_00340,0.19,1.73,Personal,No
CUST_00341,0.54,0.34,Education,No
CUST_00342,0.53,1.17,Home,No
CUST_00343,0.26,0.37,Home,No
CUST_00344,0.49,1.44,Business,No
CUST_00345,0.46,1.82,Personal,Yes
CUST_00346,0.65,0.93,Business,No
CUST_00347,0.67,1.03,Personal,No
CUST_00348,0.14,1.86,Personal,Yes
CUST_00349,0.44,1.09,,No
CUST_00350,0.66,1.03,Education,No
CUST_00351,0.55,1.2,Auto,No
CUST_00352,0.87,,Personal,No
CUST_00353,0.69,0.3,Home,Yes
CUST_00354,0.25,1.66,Business,No
CUST_00355,0.16,0.93,Education,No
CUST_00356,2.333235809,0.24,Personal,No
CUST_00357,0.12,1.59,Education,No
CUST_00358,0.63,,Business,No
CUST_00359,0.95,0.29,Home,No
CUST_00360,4.518025006,1.3,Personal,No
CUST_00361,0.45,1.77,Personal,No
CUST_00362,0.68,1.79,Education,No
CUST_00363,0.51,1.92,Business,No
CUST_00364,0.59,1.75,Auto,No
CUST_00365,0.95,0.1,Personal,No
CUST_00366,0.45,0.82,Home,Yes
CUST_00367,,1.66,Personal,No
CUST_00368,0.91,0.8,Personal,No
CUST_00369,0.28,1.24,Auto,Yes
CUST_00370,0.16,1.25,Auto,No
CUST_00371,0.19,0.79,,No
CUST_00372,0.12,1.82,Personal,No
CUST_00373,0.18,,Personal,No
CUST_00374,0.71,0.98,Education,No
CUST_00375,0.16,2,Education,No
CUST_00376,0.39,1.04,Home,No
CUST_00377,0.86,0.44,Home,Yes
CUST_00378,0.12,1.07,Education,No
CUST_00379,0.83,1.65,Home,No
CUST_00380,0.35,1.58,Personal,Yes
CUST_00381,0.21,1.6,Auto,Yes
CUST_00382,0.73,1.45,Personal,No
CUST_00383,0.67,0.58,,Yes
CUST_00384,0.89,1.74,Business,No
CUST_00385,0.76,1.8,Business,No
CUST_00386,0.82,0.47,Education,No
CUST_00387,0.35,0.35,Personal,Yes
CUST_00388,0.26,1.95,Home,No
CUST_00389,0.78,1.75,Home,No
CUST_00390,0.83,1.8,Business,No
CUST_00391,0.99,1.78,Education,No
CUST_00392,,1.13,Education,Yes
CUST_00393,0.43,1.33,Auto,Yes
CUST_00394,0.8,1.14,Business,No
CUST_00395,0.41,0.2,Education,Yes
CUST_00396,0.94,1.52,Auto,No
CUST_00397,0.87,1.06,Home,No
CUST_00398,0.49,,,No
CUST_00399,0.78,1.06,Business,No
CUST_00400,0.78,1.03,Education,No
CUST_00401,0.19,0.43,Education,No
CUST_00402,0.91,0.63,Personal,No
CUST_00403,0.55,0.4,,No
CUST_00404,0.84,0.47,Home,Yes
CUST_00405,0.39,1.95,Auto,Yes
CUST_00406,0.91,0.39,Auto,Yes
CUST_00407,0.45,0.61,Personal,Yes
CUST_00408,0.11,1.22,Home,No
CUST_00409,0.91,1.26,Auto,No
CUST_00410,0.18,0.39,Home,No
CUST_00411,0.39,1.61,Home,No
CUST_00412,0.96,1.59,Auto,No
CUST_00413,0.96,0.55,Education,No
CUST_00414,0.62,0.65,Education,No
CUST_00415,0.67,,Auto,No
CUST_00416,0.5,1.67,Personal,No
CUST_00417,0.36,1.43,Business,No
CUST_00418,0.4,0.26,Home,No
CUST_00419,0.71,0.89,Business,No
CUST_00420,,1.16,Auto,No
CUST_00421,0.81,0.46,Home,Yes
CUST_00422,0.81,0.95,Business,No
CUST_00423,0.18,1.24,Education,No
CUST_00424,0.54,0.72,Personal,No
CUST_00425,,1.58,Business,No
CUST_00426,0.59,1.7,Personal,No
CUST_00427,0.5,0.71,Education,No
CUST_00428,0.9,,Business,No
CUST_00429,0.42,0.3,Auto,No
CUST_00430,0.21,1.69,Home,Yes
CUST_00431,0.23,0.39,Education,Yes
CUST_00432,0.79,0.26,Personal,Yes
CUST_00433,4.036830538,1.32,Personal,Yes
CUST_00434,0.19,1,Education,No
CUST_00435,,1.82,Auto,No
CUST_00436,0.73,0.79,Auto,No
CUST_00437,0.17,0.65,Personal,No
CUST_00438,0.84,1.05,Education,No
CUST_00439,,0.97,Education,No
CUST_00440,0.17,0.75,Home,No
CUST_00441,0.18,1.42,Personal,No
CUST_00442,0.99,1.54,Auto,No
CUST_00443,0.44,1.72,Business,No
CUST_00444,0.43,1.95,Auto,Yes
CUST_00445,0.83,0.61,Auto,No
CUST_00446,0.95,1.46,Business,No
CUST_00447,0.99,0.85,Personal,No
CUST_00448,0.78,1.39,Home,No
CUST_00449,0.44,1,Auto,No
CUST_00450,0.18,1.99,Auto,No
CUST_00451,,1.48,Personal,No
CUST_00452,0.6,1.91,Personal,No
CUST_00453,0.48,1.69,Education,No
CUST_00454,0.92,1.82,,No
CUST_00455,0.2,1.65,Personal,No
CUST_00456,0.54,0.97,Auto,No
CUST_00457,0.11,0.58,Home,No
CUST_00458,0.52,0.8,Auto,No
CUST_00459,0.15,0.14,Personal,No
CUST_00460,0.21,1.1,Education,No
CUST_00461,0.21,1.06,Home,No
CUST_00462,0.68,1.1,Education,No
CUST_00463,0.77,1.95,Business,No
CUST_00464,0.63,1.83,Education,No
CUST_00465,0.97,0.41,Education,Yes
CUST_00466,0.44,0.8,Personal,No
CUST_00467,0.36,0.91,Personal,No
CUST_00468,0.88,0.79,Personal,No
CUST_00469,0.3,1.62,Personal,No
CUST_00470,0.97,1.1,,No
CUST_00471,0.11,1.19,Education,Yes
CUST_00472,0.97,1.72,Business,No
CUST_00473,0.14,1.63,Personal,No
CUST_00474,0.9,0.35,Business,No
CUST_00475,0.57,1.46,Business,Yes
CUST_00476,0.99,0.93,Auto,Yes
CUST_00477,0.17,0.66,Auto,Yes
CUST_00478,0.6,0.2,Home,No
CUST_00479,,1.03,Auto,No
CUST_00480,0.57,0.78,Personal,No
CUST_00481,0.67,0.58,Business,No
CUST_00482,0.73,1.42,Home,No
CUST_00483,0.51,1.56,Auto,No
CUST_00484,0.66,0.57,Education,Yes
CUST_00485,0.63,,Home,No
CUST_00486,0.91,,Personal,Yes
CUST_00487,0.14,0.12,Business,Yes
CUST_00488,0.35,,Personal,No
CUST_00489,0.96,1.29,Personal,No
CUST_00490,0.9,0.71,Education,Yes
CUST_00491,0.51,0.57,,No
CUST_00492,0.66,,Business,No
CUST_00493,,0.55,Auto,No
CUST_00494,0.27,0.36,Personal,No
CUST_00495,0.52,1.26,Auto,No
CUST_00496,0.42,0.42,Business,No
CUST_00497,0.63,1.1,Personal,No
CUST_00498,0.17,1.22,Auto,Yes
CUST_00499,0.98,0.67,Personal,No
CUST_00500,0.99,0.17,Education,No
CUST_00501,0.73,0.17,Education,No
CUST_00502,0.58,0.15,Home,No
CUST_00503,0.38,1.5,Business,No
CUST_00504,0.83,0.7,Auto,No
CUST_00505,0.72,1.61,Personal,No
CUST_00506,0.25,0.92,Home,No
CUST_00507,0.92,0.96,Business,No
CUST_00508,0.84,1.07,Business,Yes
CUST_00509,0.95,1.45,Business,No
CUST_00510,0.75,0.62,Auto,Yes
CUST_00511,0.65,0.33,Education,No
CUST_00512,0.48,1.16,Home,No
CUST_00513,0.94,0.72,Auto,No
CUST_00514,0.88,0.94,Personal,No
CUST_00515,0.14,1.33,Auto,No
CUST_00516,0.12,1.04,Personal,No
CUST_00517,0.44,1.28,Personal,No
CUST_00518,0.83,1.13,,No
CUST_00519,0.99,1.51,Auto,No
CUST_00520,0.24,1.44,,No
CUST_00521,0.63,1.11,Personal,No
CUST_00522,0.44,1.39,Business,No
CUST_00523,0.97,1.76,Education,No
CUST_00524,0.86,0.92,Auto,No
CUST_00525,0.85,0.88,Education,Yes
CUST_00526,0.52,1.55,Auto,No
CUST_00527,0.47,,Personal,No
CUST_00528,0.35,0.23,Home,No
CUST_00529,0.15,1.8,Home,No
CUST_00530,0.88,0.16,Personal,No
CUST_00531,0.83,1.52,Education,No
CUST_00532,1,1.54,Auto,No
CUST_00533,1,1.91,Home,Yes
CUST_00534,0.6,0.2,Auto,Yes
CUST_00535,0.79,1.23,Personal,Yes
CUST_00536,0.95,0.91,Education,No
CUST_00537,0.86,0.73,,No
CUST_00538,0.32,0.27,Education,No
CUST_00539,0.51,1.17,Home,No
CUST_00540,0.22,1.01,Auto,Yes
CUST_00541,0.96,0.3,Business,Yes
CUST_00542,0.65,1.26,Home,No
CUST_00543,0.31,1.5,Education,Yes
CUST_00544,0.7,1.56,Personal,Yes
CUST_00545,0.66,1.82,Business,No
CUST_00546,0.42,0.88,Auto,No
CUST_00547,0.2,1.91,Home,Yes
CUST_00548,0.7,1.74,Auto,No
CUST_00549,0.57,0.66,Auto,No
CUST_00550,0.8,0.4,Business,Yes
CUST_00551,0.57,0.93,Business,No
CUST_00552,,0.86,Business,No
CUST_00553,0.6,1.19,Business,Yes
CUST_00554,0.6,,Personal,No
CUST_00555,0.89,1.52,Education,No
CUST_00556,0.46,1.07,Business,No
CUST_00557,0.22,0.3,Home,No
CUST_00558,0.13,1.73,Auto,No
CUST_00559,0.78,0.69,Business,No
CUST_00560,0.66,,Home,No
CUST_00561,0.73,0.32,,No
CUST_00562,0.29,1.92,Home,Yes
CUST_00563,0.22,0.27,Home,No
CUST_00564,0.11,0.54,Personal,Yes
CUST_00565,0.42,0.19,Personal,No
CUST_00566,0.63,1.44,Auto,No
CUST_00567,0.45,1.72,Business,No
CUST_00568,0.49,0.92,Home,No
CUST_00569,0.91,1.86,Education,No
CUST_00570,0.41,1.22,Education,No
CUST_00571,0.56,1.3,Auto,No
CUST_00572,0.81,1.71,Education,Yes
CUST_00573,,0.66,,No
CUST_00574,0.66,,Business,No
CUST_00575,0.88,1.82,Auto,No
CUST_00576,0.95,1.81,Personal,No
CUST_00577,,1.96,Personal,No
CUST_00578,0.93,1.81,,No
CUST_00579,0.54,0.34,Personal,No
CUST_00580,,1.67,Personal,No
CUST_00581,0.51,0.88,Personal,No
CUST_00582,,1.98,Personal,Yes
CUST_00583,,1,Personal,No
CUST_00584,3.2459884,1.15,Personal,No
CUST_00585,0.67,1.11,Business,No
CUST_00586,0.32,0.71,Personal,No
CUST_00587,0.17,0.24,Auto,No
CUST_00588,0.22,1.8,Business,No
CUST_00589,0.22,,Education,No
CUST_00590,0.24,0.37,Home,No
CUST_00591,0.22,1.58,Business,No
CUST_00592,,1.29,Personal,Yes
CUST_00593,0.26,0.88,Business,No
CUST_00594,0.41,0.58,Home,No
CUST_00595,0.91,,Home,No
CUST_00596,0.53,1.43,Personal,No
CUST_00597,0.7,1.14,Personal,No
CUST_00598,0.26,1.26,Auto,Yes
CUST_00599,0.27,0.27,Home,No
CUST_00600,2.227097898,1,Personal,No
CUST_00601,0.25,0.47,Home,No
CUST_00602,0.35,0.5,Auto,Yes
CUST_00603,0.26,1.36,Education,No
CUST_00604,0.18,1.83,Home,No
CUST_00605,0.21,0.87,Auto,No
CUST_00606,0.51,0.49,Auto,No
CUST_00607,,1.33,Auto,No
CUST_00608,0.43,1.76,Business,No
CUST_00609,0.55,1.52,Personal,Yes
CUST_00610,0.72,1.75,Home,No
CUST_00611,0.14,1.12,Business,Yes
CUST_00612,0.82,1.53,Home,No
CUST_00613,0.67,0.37,Business,No
CUST_00614,0.17,0.76,,No
CUST_00615,0.89,0.84,Auto,No
CUST_00616,0.93,1.07,Home,No
CUST_00617,0.15,1.87,,No
CUST_00618,0.35,1.76,Personal,No
CUST_00619,,,Home,No
CUST_00620,0.77,0.43,Education,Yes
CUST_00621,0.27,0.78,Education,Yes
CUST_00622,0.29,0.65,Education,No
CUST_00623,0.43,1.27,Personal,No
CUST_00624,0.54,1.82,Education,No
CUST_00625,0.66,1.93,Home,No
CUST_00626,0.43,1.34,Education,No
CUST_00627,0.52,1.69,Home,No
CUST_00628,0.77,1.1,Personal,No
CUST_00629,0.13,0.5,Auto,Yes
CUST_00630,0.33,1.1,Business,No
CUST_00631,0.74,1.15,Education,Yes
CUST_00632,0.91,1.51,Business,No
CUST_00633,0.56,0.52,Auto,No
CUST_00634,,0.8,Personal,No
CUST_00635,0.2,0.79,Personal,No
CUST_00636,0.5,1.92,Auto,No
CUST_00637,0.58,0.94,Business,No
CUST_00638,0.32,1.53,Education,No
CUST_00639,0.34,1.53,Home,No
CUST_00640,0.44,0.6,Personal,No
CUST_00641,0.12,1.19,Auto,No
CUST_00642,0.39,1.8,Business,No
CUST_00643,0.29,,Education,No
CUST_00644,0.39,1.9,Business,No
CUST_00645,0.21,0.51,Education,No
CUST_00646,0.9,0.24,Home,No
CUST_00647,,1.79,Home,No
CUST_00648,0.71,1.71,Auto,Yes
CUST_00649,0.81,,Auto,Yes
CUST_00650,0.55,1.39,Education,No
CUST_00651,0.18,1.88,Education,No
CUST_00652,0.58,1.67,Education,No
CUST_00653,0.63,,Education,Yes
CUST_00654,0.77,1.18,Home,No
CUST_00655,0.49,0.83,Auto,No
CUST_00656,0.21,1.88,Auto,No
CUST_00657,0.36,0.92,Personal,Yes
CUST_00658,0.43,1.12,Auto,No
CUST_00659,0.68,0.95,Auto,Yes
CUST_00660,0.61,1.17,Business,Yes
CUST_00661,0.42,0.99,Business,No
CUST_00662,0.99,0.19,Personal,Yes
CUST_00663,0.65,1.78,Education,No
CUST_00664,,0.94,Personal,No
CUST_00665,0.19,1.22,Personal,No
CUST_00666,0.24,0.36,Home,No
CUST_00667,0.32,0.11,Auto,No
CUST_00668,0.24,0.57,Home,No
CUST_00669,0.27,1.44,Auto,No
CUST_00670,0.36,0.29,Personal,Yes
CUST_00671,0.26,1.83,Auto,No
CUST_00672,0.91,0.51,Education,No
CUST_00673,0.17,0.49,Education,Yes
CUST_00674,0.57,0.44,Personal,No
CUST_00675,0.47,0.13,Business,No
CUST_00676,0.98,1.57,Education,Yes
CUST_00677,0.2,1.76,Personal,Yes
CUST_00678,0.46,1.27,Home,No
CUST_00679,0.97,0.46,Business,No
CUST_00680,0.88,,Education,No
CUST_00681,0.84,1,Personal,No
CUST_00682,0.33,1.91,Personal,No
