Customer_ID,Credit_Utilization_Ratio,Debt_to_Income_Ratio,Loan_Purpose,Default_Status,Payment_History,Employment_Status,Income_Details,Previous_Loans,Loan_Amount,Term_Length(months),Demographic_Data,Age
CUST_00025,0.51,1.5,Auto,No,,,,1,1850734,36,,
CUST_00026,0.81,0.39,Home,No,705.5461295,Employed,4830517,2,1705816,36,Suburban,66
CUST_00027,0.28,1.83,Auto,No,642.4503211,Unemployed,5828426,0,1472337,24,Rural,40
CUST_00028,0.56,1.8,Education,No,718.7849009,Self-Employed,4619614,2,6405608,24,Urban,27
CUST_00029,0.63,1.34,Personal,No,669.9680655,Self-Employed,1363275,2,1530520,60,Rural,34
CUST_00030,0.14,,Home,No,,Unemployed,3996118,4,491692,36,Suburban,47
CUST_00031,0.65,,Auto,Yes,669.9146694,Unemployed,3452468,2,674873,60,Suburban,49
CUST_00032,0.25,1.97,Home,No,792.6139092,Retired,6780768,1,1482380,60,Suburban,32
CUST_00033,0.16,1.77,Education,No,699.3251388,Employed,4142779,4,,,,
CUST_00034,0.95,1.8,Education,No,647.1144536,Unemployed,2555736,1,655866,48,Suburban,45
CUST_00035,0.97,1.35,Auto,Yes,,Employed,4507979,5,1748478,12,Rural,15
CUST_00036,0.83,0.76,Business,No,638.9578175,Student,5356156,,2090023,24,,
CUST_00037,0.37,1.8,Home,No,710.4431798,Self-Employed,4688172,0,551369,24,Suburban,86
CUST_00038,0.19,0.65,Home,No,602.0164938,,,0,1084229,48,Suburban,48
CUST_00039,0.72,1.17,Education,No,633.5906976,Student,3993960,1,1266165,60,Urban,26
CUST_00040,0.5,0.29,Home,No,709.8430618,Self-Employed,5518089,4,1256537,48,Urban,45
CUST_00041,0.21,1.85,Auto,No,,Retired,4690911,2,1724574,36,Rural,19
CUST_00042,1.774855689,0.37,,No,708.5684141,Self-Employed,7086291,10,1334640,36,Rural,35
CUST_00043,0.13,0.53,Education,No,694.2175859,Unemployed,4687093,0,1935975,60,Urban,57
CUST_00044,0.92,1.16,Personal,Yes,684.9448152,Student,2662640,2,404542,36,Suburban,57
CUST_00045,0.33,1.55,Home,No,626.0739005,Student,4316415,2,1681995,48,Rural,55
CUST_00046,0.7,1.28,Business,No,664.0077896,Student,3863650,2,746253,60,Suburban,57
CUST_00047,2.589286668,0.54,Auto,Yes,676.9680615,,,1,1194785,12,Suburban,3
CUST_00048,0.57,0.1,Home,No,752.8561113,Employed,4727514,2,1071613,60,,
CUST_00049,,1.54,Auto,No,717.1809145,Employed,4044424,3,2088778,36,Rural,113
CUST_00050,0.27,1.97,,No,611.8479922,Self-Employed,4751086,3,1423782,60,Suburban,34
CUST_00051,0.97,1.64,,No,716.2041985,Unemployed,6843516,3,3602283,48,Suburban,40
CUST_00052,0.8,0.97,Home,No,680.745886,Self-Employed,4403980,1,1413324,12,Urban,27
CUST_00053,0.95,1.82,Education,No,666.1539,,,3,770987,12,Suburban,43
CUST_00054,0.91,0.88,Personal,No,730.5838144,,,0,722183,12,Urban,20
CUST_00055,0.64,1.1,Business,No,751.5499761,Student,5082256,0,1405854,12,Suburban,37
CUST_00056,0.93,1.01,Personal,No,746.564006,Unemployed,4714151,3,1928588,24,Rural,40
CUST_00057,0.18,0.95,Personal,Yes,658.0391238,Unemployed,4897913,1,993095,60,Urban,17
CUST_00058,0.28,1.57,Auto,No,684.5393812,Retired,4401158,2,1219353,36,Urban,39
CUST_00059,0.14,1.1,Education,No,716.5631716,Self-Employed,6370665,3,2318190,48,Urban,30
CUST_00060,0.39,0.7,Education,Yes,748.7772564,Student,5351757,1,1285919,48,Urban,42
CUST_00061,0.45,0.59,Home,No,676.0412881,Self-Employed,4709005,3,1235870,48,Suburban,45
CUST_00062,0.34,0.17,,Yes,1036.075577,Retired,5696124,1,,,Suburban,58
CUST_00063,0.85,1.21,Business,No,644.6832513,Retired,4725024,3,148404,24,Urban,54
CUST_00064,0.42,0.54,Auto,No,640.1896688,Self-Employed,5955250,3,1594762,36,,
CUST_00065,0.35,0.38,Education,Yes,740.6262911,Self-Employed,3096232,2,1343936,48,Rural,49
CUST_00066,0.59,1.34,Home,No,767.8120014,Self-Employed,7218842,1,8078058,60,Rural,41
CUST_00067,0.23,1.39,Business,No,696.3994939,Employed,4779555,2,731562,12,Suburban,37
CUST_00068,0.82,1.53,Personal,Yes,750.1766449,Retired,3144206,3,1079166,48,Rural,131
CUST_00069,0.17,1.06,Business,No,718.0818013,Unemployed,5497588,1,1320281,36,Urban,39
CUST_00070,0.99,1.8,Education,No,667.7440123,Employed,6175532,1,1342857,48,Urban,45
CUST_00071,0.8,1.88,Auto,No,718.0697803,Student,3289041,3,1449014,48,Suburban,56
CUST_00072,0.28,1.63,Personal,No,776.9018283,Unemployed,3977609,5,1085806,12,Suburban,29
CUST_00073,0.1,1.31,Auto,No,698.208698,Unemployed,5828592,0,2119903,24,Urban,21
CUST_00074,0.83,0.68,Business,Yes,778.2321828,Unemployed,5267844,2,1430256,48,Suburban,61
CUST_00075,0.74,1.97,Business,No,,,,3,,,Rural,30
CUST_00076,0.76,0.62,Home,No,741.0951252,Student,4254746,2,1362528,12,Suburban,34
CUST_00077,0.79,0.49,,No,704.3523534,,,3,971100,12,Suburban,40
CUST_00078,0.17,0.94,Business,No,,Student,3335189,3,,,Rural,69
CUST_00079,0.42,0.21,Education,No,704.5880388,,,2,1082403,36,Urban,47
CUST_00080,0.2,1.96,Education,No,600.6215543,Retired,4131325,1,749075,48,Rural,43
CUST_00081,0.88,1.22,Auto,No,689.0164056,Student,5408612,1,1280607,24,Rural,39
CUST_00082,0.66,1.16,Education,No,717.8556286,Unemployed,4233249,,908518,60,Suburban,15
CUST_00083,0.4,1.35,Business,No,773.8947022,Student,5955084,3,593865,24,,
CUST_00084,0.16,1.04,Education,No,674.0864891,Retired,3760813,5,1840774,12,Suburban,31
CUST_00085,0.38,0.16,Personal,No,659.5753199,Retired,2708705,1,460152,48,Urban,34
CUST_00086,0.39,1.26,Auto,No,674.9121478,Retired,6002809,1,1157352,12,,
CUST_00087,0.76,1.46,Personal,No,745.7701059,,,1,1055760,60,Rural,53
CUST_00088,3.218817581,0.89,Business,No,716.4375555,Student,6093113,2,475590,24,,
CUST_00089,,1.54,Business,No,673.5119898,Unemployed,4145933,1,784931,48,Suburban,42
CUST_00090,0.52,0.53,Education,No,725.6633717,Unemployed,6545131,1,-122176,12,Urban,39
CUST_00091,0.21,0.52,Home,Yes,704.8538775,Self-Employed,3224550,6,3164624,12,Rural,51
CUST_00092,0.74,0.41,Home,No,,,,1,1520560,48,Rural,48
CUST_00093,0.78,,Business,No,997.346018,Unemployed,5072545,3,954998,60,Urban,45
CUST_00094,0.61,1.71,Business,Yes,683.6168927,Retired,3980846,0,1677181,48,Rural,27
CUST_00095,0.79,1.67,Auto,No,680.3945923,Unemployed,4848279,,1629539,48,Suburban,31
CUST_00096,0.54,0.83,Business,Yes,626.8242526,,,0,1171462,48,Urban,64
CUST_00097,0.57,1.22,Business,Yes,714.8060139,Self-Employed,5033950,,1208065,12,Rural,38
CUST_00098,0.48,9.68679081,Auto,No,713.0527636,Retired,4342975,1,1506284,24,Suburban,41
CUST_00099,0.12,0.56,Personal,No,700.2556728,Employed,6091785,2,865275,24,Rural,28
CUST_00100,0.2,0.42,Personal,No,688.2706433,,,3,,,Suburban,45
CUST_00101,0.13,1.95,Auto,Yes,629.2314629,Unemployed,4555040,1,1265999,24,Urban,49
CUST_00102,0.67,1.27,Auto,Yes,678.9677339,Student,4465566,1,,,Suburban,66
CUST_00103,0.38,1.96,Personal,No,682.8642742,Retired,4107255,5,638436,24,Urban,47
CUST_00104,0.56,0.74,Personal,No,659.8861365,Self-Employed,5614618,4,2066700,36,Urban,44
CUST_00105,0.92,1.44,Personal,Yes,1037.903572,Student,5661430,0,1759600,36,Urban,56
CUST_00106,0.32,,Personal,No,720.2025428,Unemployed,6140340,2,414253,12,Suburban,57
CUST_00107,0.47,0.6,Education,No,794.3092951,Student,5100599,5,1689548,48,Rural,11
CUST_00108,0.78,1.07,Auto,No,708.7288906,Self-Employed,3887388,2,1585383,36,Suburban,61
CUST_00109,0.31,0.71,Home,No,,Student,4976763,2,1719760,36,Suburban,59
CUST_00110,0.17,0.42,Education,Yes,696.2777042,,,2,1269983,12,Urban,30
CUST_00111,0.36,0.6,Home,No,604.0614392,Unemployed,4766773,4,1615761,24,Rural,30
CUST_00112,0.25,0.17,Home,No,698.6743062,Self-Employed,6320201,3,1619413,24,Rural,21
CUST_00113,0.94,1.44,Business,No,703.0115105,Unemployed,6035677,5,,,Urban,21
CUST_00114,0.83,1.04,Auto,No,823.1621056,Retired,5692140,4,,,Rural,38
CUST_00115,0.67,,Education,No,690.3819518,Self-Employed,4536780,3,,,Rural,59
CUST_00116,0.88,0.43,Auto,No,715.0773671,Self-Employed,17041311,3,,,Rural,52
CUST_00117,0.82,0.29,Personal,Yes,698.2644115,Unemployed,3767287,4,1710713,36,Rural,63
CUST_00118,0.27,1.26,Auto,No,,Student,2745059,2,1905182,60,Rural,27
CUST_00119,0.9,0.28,Home,No,757.1411407,,,10,,,Suburban,30
CUST_00120,0.59,1.53,Personal,Yes,737.5966516,Employed,4097627,0,1001146,60,Rural,42
CUST_00121,0.83,0.14,Auto,No,739.5515974,,,2,1333810,24,Rural,35
CUST_00122,0.91,0.57,Auto,No,,Self-Employed,6597255,3,1535417,36,Urban,24
CUST_00123,0.39,1.79,Home,No,770.1397155,Unemployed,3707195,1,593118,48,Suburban,42
CUST_00124,0.2,1.47,Personal,No,629.9074469,Self-Employed,5429860,0,,,Suburban,43
CUST_00125,0.31,0.24,Home,Yes,,Unemployed,2106706,3,2091102,48,,
CUST_00126,0.48,1.66,Auto,Yes,,Retired,4987470,3,1721669,60,Suburban,38
CUST_00127,0.84,1.04,Education,No,650.4731837,Employed,4955764,2,754636,60,Rural,43
CUST_00128,0.87,,Education,No,671.6851135,Self-Employed,3328715,2,2202571,12,Suburban,58
CUST_00129,,1.24,Business,No,704.9825683,Retired,4770591,0,1339205,24,Rural,38
CUST_00130,0.56,1.4,Education,No,674.8262173,,,1,1099833,60,Urban,28
CUST_00131,0.48,1.99,Personal,Yes,622.4668284,Employed,5625657,2,440149,48,Urban,36
CUST_00132,0.3,0.54,Business,No,703.4281487,Unemployed,4796902,0,2132270,24,Rural,42
CUST_00133,0.21,1.29,Personal,Yes,646.8848143,Student,6423453,3,2398119,48,Rural,52
CUST_00134,0.4,0.97,Education,No,723.6796215,Student,2659071,1,1460468,60,Rural,31
CUST_00135,0.95,0.17,Education,Yes,654.0287883,Retired,3484257,,1566044,48,Rural,44
CUST_00136,0.39,0.13,Auto,No,777.4967203,Self-Employed,3961175,4,670889,24,Rural,22
CUST_00137,0.57,0.33,Personal,No,660.8373354,Self-Employed,5175631,1,2093924,24,Rural,23
CUST_00138,0.73,1.33,Home,Yes,683.8969242,,,2,1983783,60,Suburban,69
CUST_00139,0.43,1.18,Auto,No,740.6758609,Student,5094291,1,728408,24,Suburban,14
CUST_00140,0.97,1.15,Personal,No,638.4567842,Employed,11270404,1,986289,36,Rural,27
CUST_00141,0.97,0.16,Business,No,,Student,2195848,3,777461,36,Urban,58
CUST_00142,0.33,0.99,Personal,No,,Retired,3618883,4,1119670,36,,
CUST_00143,0.55,1.86,Business,No,619.6258383,Student,6318209,4,1358793,36,Rural,30
CUST_00144,0.37,0.86,Business,No,709.2316929,Student,3792602,5,534686,12,Urban,43
CUST_00145,,1.29,Education,No,712.9941397,Student,4785614,2,538172,48,Rural,35
CUST_00146,0.13,1.58,Home,No,739.0911436,Student,4640862,4,1320696,24,,
CUST_00147,0.65,1.59,Personal,No,638.1524645,Employed,4793665,1,2182734,36,Suburban,40
CUST_00148,0.55,1.09,Home,No,633.9771693,,,,1380871,36,,
CUST_00149,0.15,1.73,Business,Yes,726.0970783,Unemployed,5583410,,1586296,60,Urban,66
CUST_00150,0.35,0.84,Education,Yes,714.8492337,Self-Employed,4441330,,1779769,60,Urban,36
CUST_00151,0.92,1.79,Home,No,712.5246425,Unemployed,7441282,2,,,Urban,44
CUST_00152,0.32,0.56,Auto,No,717.3224105,,,1,430853,12,Urban,59
CUST_00153,0.23,0.63,Business,No,665.9987639,Unemployed,5781531,2,1581316,48,,
CUST_00154,0.54,0.2,Auto,No,711.6126849,Student,4082023,3,1698014,12,Suburban,50
CUST_00155,0.99,1.61,Home,No,714.6536237,Student,6954404,,999818,60,Rural,39
CUST_00156,,0.89,Home,No,664.2824291,Employed,5474763,2,2225396,24,,
CUST_00157,0.7,0.54,Home,No,793.2887256,Student,2964843,0,650637,36,Suburban,47
CUST_00158,0.79,0.54,Personal,Yes,723.691646,Student,6316798,3,993593,12,Suburban,32
CUST_00159,,1.81,Business,No,640.4348251,Unemployed,5530207,2,1560649,24,Rural,42
CUST_00160,0.76,1.68,Business,No,732.8276804,Employed,3983336,4,419648,24,Rural,43
CUST_00161,0.43,1.15,Business,No,651.2659165,Employed,2556566,2,1480305,36,Suburban,47
CUST_00162,0.67,1.27,Personal,No,,Unemployed,6056510,2,2310471,12,Urban,25
CUST_00163,0.67,1,Home,No,,Unemployed,6715862,4,2159162,36,Rural,40
CUST_00164,0.58,0.84,Home,No,658.9658841,Employed,5958321,1,1525540,60,Suburban,40
CUST_00165,0.18,1.84,Auto,No,748.1688065,Retired,5647735,1,,,,
CUST_00166,0.85,0.34,Personal,No,720.6390463,Unemployed,5259212,2,1213626,36,Urban,17
CUST_00167,0.39,0.9,Education,Yes,741.103008,Unemployed,5883538,,1477151,36,Urban,43
CUST_00168,0.27,0.75,Personal,No,,,,4,1390748,12,Suburban,32
CUST_00169,0.14,1.05,Auto,No,687.7305942,Retired,2305740,0,1734202,36,Urban,48
CUST_00170,0.63,0.97,Auto,Yes,662.3131918,Retired,5510038,0,244186,36,Urban,32
CUST_00171,0.71,1.09,Auto,Yes,655.5242785,Self-Employed,5053787,3,927608,48,Suburban,38
CUST_00172,0.11,0.37,Home,Yes,988.8142286,,,,1680501,60,Suburban,45
CUST_00173,0.56,1.07,Education,No,696.1449145,Unemployed,1834881,2,1593351,60,Rural,52
CUST_00174,0.3,0.56,Auto,No,717.0575987,Student,4666343,1,1427600,36,Suburban,46
CUST_00175,0.68,0.45,Business,No,713.83454,Employed,4371527,3,1898791,60,Rural,31
CUST_00176,0.26,0.22,Home,Yes,741.3591625,Unemployed,4266200,4,1922114,48,Urban,31
CUST_00177,0.72,1.55,Education,No,700.6500946,Employed,5286519,20,500739,36,Rural,37
CUST_00178,0.45,0.91,Business,No,772.6767039,Retired,3637309,3,1452002,12,Rural,34
CUST_00179,0.94,1.29,Education,No,686.7671583,Employed,5420647,1,1875551,24,Rural,48
CUST_00180,0.22,1.48,Education,No,,,,0,1189058,48,Suburban,34
CUST_00181,0.41,1.39,Business,No,,Student,1252553,2,1180675,60,Suburban,30
CUST_00182,0.2,0.99,Personal,No,657.1421222,Unemployed,4479510,2,1577664,24,Suburban,56
CUST_00183,0.93,0.84,Education,No,646.4553751,Self-Employed,4814166,1,183430,60,Rural,51
CUST_00184,0.89,0.81,Personal,No,724.1236208,Employed,5496343,0,1081075,24,Suburban,33
CUST_00185,0.33,1.32,Education,Yes,688.8268607,Unemployed,5248505,2,890424,24,Suburban,43
CUST_00186,0.69,1.04,Business,No,735.7000247,Retired,2385088,2,1191382,24,Rural,24
CUST_00187,0.84,1.71,Education,No,723.6618812,Retired,4684105,3,2192777,48,Urban,42
CUST_00188,0.6,1.76,Auto,No,696.3585544,Unemployed,4241964,2,1614184,36,Urban,44
CUST_00189,0.58,,Auto,No,657.6603141,Self-Employed,5903209,2,117694,12,,
CUST_00190,0.32,,Education,No,624.2576388,Employed,3072743,1,737455,60,Rural,34
CUST_00191,0.18,1.3,Business,No,,Self-Employed,4561763,1,-19007,24,Rural,43
CUST_00192,0.91,0.67,Business,No,1114.22991,Student,5649810,5,1125729,60,Rural,57
CUST_00193,0.91,0.14,Home,No,1066.057031,Unemployed,5511698,5,1289986,36,Rural,28
CUST_00194,0.67,1.79,Business,Yes,637.7130611,Self-Employed,4372772,1,5569549,24,Rural,41
CUST_00195,0.41,0.53,Personal,No,708.6590463,Student,6033768,1,3476953,60,Urban,44
CUST_00196,0.41,1.87,Education,No,719.265869,Self-Employed,3654822,3,,,Urban,37
CUST_00197,,,Auto,No,655.8071282,Student,5476506,5,869674,36,Suburban,21
CUST_00198,,1.55,Business,No,707.6862553,Retired,5683259,,1392242,12,,
CUST_00199,0.9,0.48,Auto,No,702.9104359,Retired,2861591,,1113943,12,Suburban,45
CUST_00200,0.8,0.54,Home,No,642.8514851,Unemployed,6187069,6,,,Urban,61
CUST_00201,0.68,1.09,Education,Yes,717.889368,Self-Employed,2512576,1,1856544,48,Rural,47
CUST_00202,0.18,0.43,Business,Yes,,,,1,1427019,12,Rural,20
CUST_00203,0.25,0.68,Auto,No,754.1525622,Employed,3981344,2,1400791,12,Suburban,27
CUST_00204,0.91,0.71,Business,No,752.6901026,Retired,5825355,,1677928,36,Urban,55
CUST_00205,0.65,0.4,Home,No,631.1165316,Retired,4975601,3,1590612,60,Urban,34
CUST_00206,0.11,0.49,Auto,No,653.108748,Self-Employed,6794712,0,1653443,24,Rural,62
CUST_00207,0.19,1.6,Auto,No,725.7517634,Student,5980233,2,1158680,36,Suburban,29
CUST_00208,0.7,0.42,Education,No,725.6892975,Employed,4729174,5,1074601,24,,
CUST_00209,0.1,0.15,Education,No,725.7523843,Employed,6065225,2,5023824,36,Suburban,50
CUST_00210,0.24,1.3,Auto,No,892.6365745,Student,4436516,,746502,48,Rural,45
CUST_00211,0.59,1.95,Education,Yes,728.5445255,Self-Employed,3208946,6,973175,24,Suburban,35
CUST_00212,0.72,0.73,Auto,No,756.778282,Retired,3995537,3,990688,48,Rural,33
CUST_00213,0.69,0.33,Personal,No,747.7000882,Student,4422074,4,906277,12,Rural,28
CUST_00214,0.3,1.18,Business,No,732.5695626,Employed,695789,0,,,Suburban,40
CUST_00215,0.74,1.82,Personal,No,684.2365378,Employed,6287665,3,1735696,36,Urban,19
CUST_00216,0.31,1.59,Personal,No,737.948461,Retired,4444235,3,1978637,24,Urban,47
CUST_00217,0.39,1.28,Business,No,992.0381089,Retired,5765263,2,1684651,36,Rural,30
CUST_00218,0.77,0.7,Auto,No,,Unemployed,4764864,4,,,Rural,18
CUST_00219,0.68,1.13,Auto,No,675.7318226,Student,2646123,1,1421375,60,Suburban,43
CUST_00220,0.86,0.27,Education,No,704.093707,Retired,4663853,3,1002557,36,,
CUST_00221,0.69,1.39,Home,Yes,815.7329283,Unemployed,4415766,4,3430888,24,Urban,54
CUST_00222,0.61,1.48,Auto,Yes,606.6367404,Self-Employed,3711345,4,1294966,12,Urban,28
CUST_00223,0.18,1.93,Business,No,734.3130095,Employed,4079118,2,1597750,60,,
CUST_00224,0.43,0.59,Home,No,619.3642064,Student,4598034,2,1724574,12,Rural,27
CUST_00225,0.34,0.14,Business,No,676.4034067,Self-Employed,1509438,,176790,12,Rural,17
CUST_00226,0.32,1.14,Business,No,,Student,5013283,0,1086304,60,Rural,47
CUST_00227,0.98,1.44,Business,No,703.214001,Student,5316980,0,6300530,48,Urban,37
CUST_00228,0.45,1.6,Home,No,646.1127611,Retired,5188662,2,771402,36,Rural,32
CUST_00229,,0.47,Personal,No,664.2348145,,,0,1366761,36,Rural,51
CUST_00230,0.67,0.6,Business,No,733.9798874,Student,7010346,0,2367658,12,Suburban,36
CUST_00231,0.82,1.07,Education,Yes,663.4816684,Self-Employed,5201195,2,1222507,60,Rural,48
CUST_00232,0.55,0.73,Auto,Yes,710.8229295,Student,4044756,0,627812,12,Suburban,35
CUST_00233,0.62,1.73,Auto,Yes,702.278592,Unemployed,3022611,5,,,Urban,33
CUST_00234,0.54,1,Auto,Yes,667.4199826,,,1,1995403,48,Rural,41
CUST_00235,0.28,1.62,Home,No,807.1972045,Student,5062834,0,1256620,48,Suburban,57
CUST_00236,0.75,1.2,,Yes,731.6959511,Self-Employed,5463724,4,713468,60,Urban,53
CUST_00237,0.35,1.57,Education,No,598.7428707,Employed,4719712,1,1407763,48,Suburban,31
CUST_00238,0.12,0.73,Education,No,709.3227157,Employed,4494616,5,1985028,60,Urban,40
CUST_00239,0.68,1.68,Education,Yes,666.9106768,Retired,4142779,0,1065388,36,Urban,39
CUST_00240,0.26,0.62,Education,No,742.6216667,Retired,5178287,2,1100829,24,Rural,38
CUST_00241,0.95,1.14,Personal,No,660.3739631,Student,3598880,,914826,24,Rural,52
CUST_00242,0.96,0.51,Education,No,694.2631779,Self-Employed,4540681,3,2157668,60,,
CUST_00243,0.92,1,Education,No,725.2493639,Retired,4680287,2,1017165,36,Suburban,26
CUST_00244,0.43,0.7,Home,Yes,743.2877597,Unemployed,5283116,0,3962669,36,Rural,23
CUST_00245,0.11,0.61,Home,No,639.9851796,Unemployed,3546258,1,1422288,36,Suburban,31
CUST_00246,0.94,1.94,Education,No,683.2749382,Employed,3314605,5,,,Rural,46
CUST_00247,0.49,0.4,Personal,Yes,,Employed,4627001,3,1407763,12,Suburban,60
CUST_00248,0.97,1.6,Education,No,667.3335384,Employed,4822715,6,1156937,12,Rural,30
CUST_00249,0.97,1.97,Education,No,788.272712,Unemployed,4558443,,1027125,48,Urban,50
CUST_00250,0.87,0.14,Education,No,720.2490855,Retired,3559040,2,577265,60,Urban,48
CUST_00251,0.37,1.43,Business,No,636.9558023,Retired,4979004,1,1390333,12,Urban,35
CUST_00252,,0.58,Personal,Yes,745.8930974,Student,7762658,1,1361781,24,Urban,31
CUST_00253,0.87,,Auto,No,806.1078099,Self-Employed,5708159,1,1360453,36,Urban,22
CUST_00254,,0.87,Education,No,751.623263,Unemployed,2129614,30,1040405,60,Urban,38
CUST_00255,0.25,1.88,Auto,No,,Employed,4060277,,1479641,24,Urban,44
CUST_00256,0.6,0.12,,No,675.7882964,Self-Employed,4321893,3,194801,60,Rural,42
CUST_00257,0.94,1.22,Education,No,763.3455575,Employed,4165521,2,4106674,60,,
CUST_00258,0.73,1.05,Auto,Yes,664.6165267,Self-Employed,3022528,4,1391329,60,Suburban,59
CUST_00259,0.61,1.76,Auto,No,722.1909714,Self-Employed,3453215,2,1980214,36,Suburban,54
CUST_00260,0.19,0.26,Personal,No,738.7317027,Retired,5727581,,,,Suburban,37
CUST_00261,0.65,1.39,Education,No,653.6534764,Student,5495181,2,1526702,48,Rural,60
CUST_00262,0.99,1.39,Business,No,697.0237322,Student,4425975,3,-20833,60,Rural,21
CUST_00263,0.23,,Personal,No,537.936633,Employed,5745343,,2559139,60,Urban,59
CUST_00264,0.57,1.89,Business,Yes,648.7806179,Unemployed,3747284,5,,,Urban,21
CUST_00265,0.89,,Education,No,687.3715924,Student,4138214,2,1475657,12,Rural,15
CUST_00266,0.77,0.18,Auto,No,637.6108409,Unemployed,4110990,1,258628,36,Rural,24
CUST_00267,0.73,1,Personal,No,781.6205652,Employed,2633507,,,,Rural,50
CUST_00268,0.73,0.86,Personal,No,628.4929311,Unemployed,4246529,1,641507,36,Suburban,36
CUST_00269,0.42,,Personal,No,677.9977757,Self-Employed,6604144,0,,,Urban,29
CUST_00270,0.36,,Home,No,,Self-Employed,6468024,2,1360204,60,Rural,66
CUST_00271,0.83,0.83,Education,No,772.0636645,Employed,4710914,3,817965,60,Suburban,46
CUST_00272,0.83,0.92,Home,No,628.2068924,,,6,767418,60,Urban,68
CUST_00273,0.88,1.96,Personal,No,758.1581876,Unemployed,6767322,2,816388,48,Urban,28
CUST_00274,,0.27,Personal,Yes,1050.76748,,,1,1454409,48,Urban,46
CUST_00275,0.56,1.85,Business,No,650.9245674,Student,3919509,1,1033350,24,Rural,59
CUST_00276,0.55,,Home,No,723.1051737,Retired,5756631,3,1027042,24,Urban,35
CUST_00277,0.82,1.29,Auto,No,709.9529848,Student,2434639,2,974835,60,Rural,40
CUST_00278,0.68,1.68,Education,Yes,669.9891561,Retired,4426888,2,2475724,24,Rural,47
CUST_00279,0.73,0.78,Auto,No,703.4901042,Unemployed,4483245,4,1032105,24,Urban,45
CUST_00280,0.82,0.92,Auto,No,680.7343202,Retired,5206590,3,890756,60,Suburban,25
CUST_00281,0.9,0.88,Education,No,705.6758673,Retired,3827628,1,138942,12,Urban,38
CUST_00282,0.4,0.81,,No,733.1065337,Unemployed,13059884,1,1017912,12,Urban,27
CUST_00283,0.44,1.86,Business,No,779.3008408,Self-Employed,4681449,6,1703326,48,Rural,34
CUST_00284,0.18,1.67,Personal,No,638.1092251,Retired,4248189,1,1153119,48,Suburban,32
CUST_00285,0.62,0.31,Personal,Yes,806.6516687,Employed,4334094,1,1927094,36,Urban,44
CUST_00286,0.13,0.31,Home,Yes,602.39561,Student,5601836,10,1164905,36,Rural,49
CUST_00287,0.52,0.91,Auto,No,692.4107452,Unemployed,5288345,0,965954,12,Rural,30
CUST_00288,0.59,0.29,Auto,No,729.4158603,Unemployed,5209910,3,2248885,48,Rural,46
CUST_00289,0.36,1.28,Auto,No,714.0495934,Retired,2518801,,-88395,24,Rural,39
CUST_00290,0.63,0.37,Business,No,,Self-Employed,5100101,2,,,Suburban,31
CUST_00291,0.13,5.898657017,,Yes,689.5938875,Self-Employed,3518453,0,,,Rural,57
